Eu estou comendo queijo.	Eu comi o queijo.
Dê-me mais uma chance.	Por favor, me dê outra chance.
Quando termina a escola?	Quando terminam as aulas?
Quando termina a escola?	Quando as aulas terminam?
Qual é o comprimento desta ponte?	Quanto mede esta ponte?
Qual é o comprimento da ponte?	Qual é o comprimento desta ponte?
Que comprimento tem a ponte?	Qual é o comprimento desta ponte?
Que comprimento tem esta ponte?	Qual é o comprimento desta ponte?
Como se chama esta flor?	Qual é o nome desta flor?
Ela está cada vez mais bonita.	Ela fica mais bonita a cada dia que passa.
Quanto custa este chapéu?	Quanto custa esse boné?
Quanto é esse chapéu?	Quanto custa esse boné?
Quanto custa esse chapéu?	Quanto custa esse boné?
Até uma criança entende isso.	Até mesmo as crianças conseguem entender isso.
Até as crianças sabem disso.	Até mesmo as crianças conseguem entender isso.
Até mesmo uma criança sabe disso.	Até mesmo as crianças conseguem entender isso.
Por que eu ainda me importo?	Por que eu ainda ligo pra isso?
Por que eu ainda me dou ao trabalho?	Por que eu ainda ligo pra isso?
Por que eu ainda ligo pra isso?	Por que deveríamos nos preocupar?
Não toque a ferida.	Não toques a ferida.
Eu tenho que encontrá-lo.	Devo encontrá-lo.
Eu tenho que encontrá-lo.	Preciso encontrá-la.
Eu tenho que encontrá-lo.	Tenho de encontrá-la.
Eu tenho que encontrá-lo.	Nós temos de encontrá-lo.
Eu tenho que encontrá-lo.	Nós temos de encontrá-la.
Eu tenho que encontrá-lo.	Devemos encontrá-lo.
Eu tenho que encontrá-lo.	Devemos encontrá-la.
Eu tenho que encontrá-lo.	Tenho de encontrá-lo.
Eu tenho que encontrá-lo.	Temos de encontrá-los.
Eu tenho que encontrá-lo.	Temos que encontrá-los.
Eu tenho que encontrá-lo.	Precisamos encontrá-los.
Eu tenho que encontrá-lo.	Precisamos encontrá-las.
Por que você estuda?	Por que está estudando?
Por que você estuda?	Por que estudas?
Se soubesse a verdade, eu te diria.	Se eu conhecesse a verdade, eu a diria a você.
Cada dia fica mais frio.	Está ficando cada dia mais frio.
Cada dia fica mais frio.	Está ficando cada vez mais frio.
Está ficando mais quente dia após dia.	Os dias estão ficando cada vez mais quentes.
Cada dia faz mais calor.	Está ficando mais quente dia após dia.
Está ficando mais quente a cada dia.	Está ficando mais quente dia após dia.
Eu também fui.	Eu fui, também.
Eu também gostaria de ouvir a sua voz.	Eu também gostaria de ouvir as suas vozes.
Quioto tem muitas universidades.	Existem numerosas universidades em Quioto.
Quanto custa uma maçã?	Quantas maçãs?
Quanto custa a maçã?	Quantas maçãs?
Quantas maçãs há?	Quantas maçãs?
Volta para casa antes das seis.	Você deveria vir par casa antes das seis.
Ele vem para casa às seis.	Volta para casa antes das seis.
Volta para casa antes das seis.	Fique em casa até às dezoito.
Isto é o que eu teria dito.	Disse-lhe há um tempinho.
Eu disse isso.	Disse-lhe há um tempinho.
Eu disse!	Disse-lhe há um tempinho.
Isso disse eu.	Disse-lhe há um tempinho.
Eu te disse!	Disse-lhe há um tempinho.
Eu lhe contei.	Disse-lhe há um tempinho.
Eu lhe disse.	Disse-lhe há um tempinho.
Isso foi o que eu disse!	Disse-lhe há um tempinho.
Eu te avisei.	Disse-lhe há um tempinho.
Foi o que eu disse.	Disse-lhe há um tempinho.
Eu perdi minha carteira.	Perdi minha bolsa.
Não encontro minha carteira.	Eu perdi minha carteira.
Eu perdi minha carteira.	Eu perdi o meu porta-moedas.
Eu perdi minha carteira.	Perdi minha carteira.
Eu perdi minha carteira.	Eu perdi minha mochila.
Eu perdi minha carteira.	Perdi minha mochila.
Eu não gosto do seu jeito de falar.	Detesto sua maneira de falar.
Eu não gosto do jeito que ela fala.	Detesto sua maneira de falar.
Não gosto do jeito dele de falar.	Detesto sua maneira de falar.
Ela não é médica?	Acho que ele é médico.
Você fala como se fosse o chefe.	Tu falas como se fosses o chefe.
Os gatos não gostam de se molhar.	Gatos odeiam serem molhados.
Os gatos odeiam se molhar.	Gatos odeiam serem molhados.
Gatos não gostam de ficar molhados.	Gatos odeiam serem molhados.
Os gatos odeiam ficar molhados.	Gatos odeiam serem molhados.
Dê-nos as cartas.	Por favor, distribua as cartas.
Deixei o meu cartão em casa.	Esqueci meu cartão de crédito em casa.
Tem cartão de crédito?	Vocês têm um cartão de crédito?
Lê o artigo.	Dê uma lida no artigo.
Leia o artigo.	Dê uma lida no artigo.
Leiam o artigo.	Dê uma lida no artigo.
Vida longa à Rainha!	Viva a Rainha!
Onde estão meus óculos?	Cadê meu óculos?
Onde fica Paris?	Onde se situa Paris?
Onde está Tony?	Onde tá Tony?
Onde está Tony?	Onde tá o Tony?
Onde está Tony?	Cadê Tony?
Onde está Tony?	Cadê o Tony?
Não há mais água no poço.	O poço secou.
Não tem água no poço.	O poço secou.
O poço está seco.	O poço secou.
A fonte secou.	O poço secou.
Você veio aqui sozinha?	Você veio para cá sozinho?
Você veio sozinha?	Você veio aqui sozinha?
Você veio aqui sozinha?	Tu vieste sozinha?
Vem aqui e ajuda.	Venha cá e ajude-me.
Vem aqui e ajuda.	Vem cá e ajuda-me.
Ele acha que eu sou apaixonado por ela.	Ele pensa que estou apaixonado por ela.
Um carro o atropelou e ele morreu na hora.	Ele foi atropelado por um carro e faleceu instantaneamente.
Eu não terminei o meu dever de casa ainda.	Ainda não terminei os deveres.
É falta de educação falar com a boca cheia.	É rude falar de boca cheia.
Demora apenas alguns minutos.	Levará só uns minutos.
É muito sério.	Isso é muito sério.
A galera vibrou quando ele fez um gol.	A multidão vibrou quando ele marcou um gol.
Eu vou mesmo que chova.	Mesmo que chova, eu vou.
Eu tenho 19 anos.	Tenho 19 anos de idade.
Ele estava rindo.	Ela caiu em prantos.
Ele riu.	Ela caiu em prantos.
Ela chorou.	Ela caiu em prantos.
Ela chorava.	Ela caiu em prantos.
Ele caiu no choro.	Ela caiu em prantos.
Ela sorriu.	Ela caiu em prantos.
Ele estava chorando.	Ela caiu em prantos.
Você começou a chorar.	Ela caiu em prantos.
Comecei a chorar.	Ela caiu em prantos.
Ele estava a chorar.	Ela caiu em prantos.
Ela estava chorando.	Ela caiu em prantos.
Estava chorando.	Ela caiu em prantos.
Ela começou a rir.	Ela caiu em prantos.
De repente, ela começou a rir.	Ela caiu em prantos.
Ela caiu em prantos.	Ele gargalhou.
Ele está chorando.	Ela caiu em prantos.
Ela está chorando.	Ela caiu em prantos.
Eles estavam rindo.	Ela caiu em prantos.
Ela caiu em prantos.	Eles sorriram.
Eles riram.	Ela caiu em prantos.
Ele chorou.	Ela caiu em prantos.
Eu comecei a chorar.	Ela caiu em prantos.
Ela riu.	Ela caiu em prantos.
Isso a fez chorar.	Ela caiu em prantos.
Isso o fez chorar.	Ela caiu em prantos.
Ela fala alto.	Ela caiu em prantos.
Ele sorriu.	Ela caiu em prantos.
Eu chorei.	Ela caiu em prantos.
A menina está chorando.	Ela caiu em prantos.
A menininha está chorando.	Ela caiu em prantos.
Ela caiu em prantos.	Elas sorriram.
Ela sorria.	Ela caiu em prantos.
Ela caiu em prantos.	Ela rebentou a rir.
Desliga a TV.	Desligue a TV.
Desligue a TV.	Abaixe o som da TV.
Desligue a TV.	Abaixe o volume da TV.
O relógio parou.	O pêndulo parou.
Não, sente-se.	Não; vá se sentar!
Não, sente-se.	Não; sentem-se!
Muitas árvores caíram.	Várias árvores foram cortadas.
Várias árvores foram cortadas.	Muitas árvores foram derrubadas.
A árvore caiu.	A árvore veio abaixo.
Cada país tem seus próprios costumes.	Todos os países têm os seus próprios costumes.
Eu vi com meus próprios olhos.	Vi com os meus próprios olhos.
Eu prefiro trabalhar por conta própria.	Prefiro trabalhar sozinho.
Eu acabei de ser roubado.	Acabo de ser assaltado.
Esse filme é da hora.	Esse filme é genial.
Esse filme é da hora.	Esse filme é sensacional.
Esse filme é da hora.	Esse filme é maravilhoso.
Ela não veio porque está doente.	Ela está ausente por motivos de saúde.
Eu passei na prova.	Passei na prova.
É porque você é mulher.	Isto acontece porque você é uma garota.
Betty pode tocar piano.	Betty sabe tocar piano.
Eu sou Charlie.	Sou Charlie.
Boa pergunta.	Esta é uma boa pergunta.
Boa pergunta.	Esta é uma ótima pergunta.
Boa pergunta.	Excelente pergunta!
Boa pergunta.	Ótima pergunta.
Vamos nos ajudar!	Ajudemo-nos uns aos outros!
Estes são os livros dele.	Aqueles são os livros deles.
Esses são os seus livros.	Aqueles são os livros deles.
Não corte aquelas árvores.	Não derrube aquelas árvores.
Como foram suas férias de verão?	Como você passou o feriado?
O que você faz no seu tempo livre?	Como você passou o feriado?
O que você faz na sua folga?	Como você passou o feriado?
Como você passou o feriado?	Como têm passado o tempo livre?
Como você passou o feriado?	O que tu fazes no teu tempo livre?
Como você passou suas férias?	Como você passou o feriado?
Como você passou o feriado?	Como é que vocês passam o tempo livre?
Como você passou o feriado?	Como passaste as férias?
Você está seguro.	Você está bem seguro.
Você está bem seguro.	Tu estás seguro.
Você está bem seguro.	Você está num lugar seguro.
Você está bem seguro.	Você está em um lugar seguro.
Ele bebeu um pouco.	Ele bebera um pouco.
Ainda chove?	Ainda está chovendo?
Minhas pernas estão sempre doendo.	Minhas pernas ainda doem.
Por favor, me empreste a sua faca.	Posso pegar sua tesoura emprestada?
Você vai me emprestar sua faca?	Posso pegar sua tesoura emprestada?
Você me emprestaria a sua faca?	Posso pegar sua tesoura emprestada?
Posso pegar sua tesoura emprestada?	Empreste-me a sua faca, por favor.
Você me empresta a faca?	Posso pegar sua tesoura emprestada?
Posso emprestar a sua tesoura?	Posso pegar sua tesoura emprestada?
Posso pegar emprestada a sua faca?	Posso pegar sua tesoura emprestada?
Este é um livro velho.	Aquele livro é realmente velho.
Este é um livro velho.	Este livro é velho mesmo!
O livro é velho.	Este é um livro velho.
Este é um livro velho.	Isto é um velho livro.
Este é um livro velho.	Esses livros são velhos.
Este é um livro velho.	Esse é um livro antiguíssimo.
Este é um livro velho.	Esse livro é muito antigo.
Este é um livro velho.	Esse livro está velho.
É um livro muito antigo.	Este é um livro velho.
Este é um livro velho.	Este livro é antigo.
Nós somos velhos amigos.	Somos velhos amigos.
A vida é breve.	A vida é muito curta.
A vida é breve.	A vida é demasiado curta.
A vida é breve.	A vida é curta demais.
Conta-me o que aconteceu.	Conte-me o que está acontecendo.
Não se preocupe, já estou aqui.	Estou aqui, então não se preocupe.
Levante o braço direito.	Erga a mão direita.
Levante a sua mão esquerda.	Levante o braço esquerdo.
Me chamam de Bob.	Elas me chamam Bob.
Posso te chamar de Bob?	Posso chamá-lo de Bob?
Você quer brincar comigo?	Você gostaria de brincar comigo?
Você quer brincar comigo?	Vamos tocar juntos?
Você quer brincar comigo?	Vamos jogar juntos?
Você quer brincar comigo?	Vamos brincar juntos?
Você vai com Tom?	Você irá com Tom?
Você vai com Tom?	Você irá com o Tom?
Eu conheço esse cara.	Conheço esse menino.
Eu conheço aquele cara.	Conheço esse menino.
O garoto está correndo.	Aquele menino está correndo.
O menino ficou em silêncio.	O menino ficou quieto.
O menino ficou em silêncio.	O menino ficou calado.
O rapaz estava em silêncio.	O menino ficou em silêncio.
O menino ficou em silêncio.	O rapaz permaneceu em silêncio.
O menino ficou em silêncio.	O menino calou-se.
O menino ficou em silêncio.	O menino se calou.
O garoto é gentil.	O rapaz é gentil.
O menino é gentil.	O rapaz é gentil.
O menino chegou correndo.	O menino veio correndo.
Eu sei falar inglês.	Eu falo inglês.
Eu falo inglês.	Eu sei falar chinês.
Eu falo inglês.	Eu posso falar chinês.
Ele fala bem.	Ele fala realmente bem.
Ele fala bonito.	Ele fala realmente bem.
Ele fala realmente bem.	Ele é um bom falante.
Ele fala realmente bem.	Ele se exprime bem.
Ele fala bem mesmo.	Ele fala realmente bem.
Ele se expressa bem.	Ele fala realmente bem.
Ele é bom de conversa.	Ele fala realmente bem.
Você fala demais.	Tu falas demais.
Você fala demais.	Vocês falam demais.
Você fala demais.	Você tagarela demais.
Ela fala muito.	Você fala demais.
Você fala demais.	Ele tem uma bocarra.
Você fala demais.	Ela faloca.
Você fala demais.	Ela tagarela.
Ele conversa muito.	Você fala demais.
Você fala demais.	Ele fala demais.
Você fala demais.	Ela fala demais/demasiado.
Você fala demais.	Ela é tagarela.
Mariko fala inglês muito bem.	Mariko tem um excelente inglês.
Mariko tem um excelente inglês.	Mariko fala inglês perfeitamente.
Mário fala inglês fluentemente.	Mariko tem um excelente inglês.
Ele fala russo perfeitamente bem.	Fala russo perfeitamente.
O menino fugiu.	O garoto fugiu.
O bebê começou a chorar.	O menino se pôs a chorar.
Eu consertei a bicicleta ontem.	Minha bicicleta foi consertada ontem.
Meu pai vai à empresa de bicicleta.	Meu pai vai trabalhar de bicicleta.
Elas são da mesma idade.	Eles têm a mesma idade.
São contemporâneos.	Eles têm a mesma idade.
Você não está esquecendo de algo?	Você esqueceu alguma coisa?
Você esqueceu alguma coisa?	Estou esquecendo alguma coisa?
Você tem tudo?	Você esqueceu alguma coisa?
Você esqueceu alguma coisa?	Tem certeza de que não esqueceu nada?
Você não se esqueceu de nada?	Você esqueceu alguma coisa?
Você esqueceu alguma coisa?	Não te esqueceste de nada?
Não esqueceu de nada?	Você esqueceu alguma coisa?
Você está com tudo?	Você esqueceu alguma coisa?
Sabemos que o Sol é maior do que a Terra.	Nós sabemos que o sol é maior que a terra.
Eu ajudei ele ontem.	Ontem os ajudei.
Eu comprei um livro ontem.	Ontem eu comprei um livro.
Ele morreu ontem.	Ele faleceu ontem.
Ele morreu ontem.	Ele bateu as botas ontem.
Ele morreu ontem.	Ela faleceu ontem.
Ele morreu ontem.	Ela morreu ontem.
Eles sorriram um ao outro.	Eles sorriram mutuamente.
Eles sorriram um ao outro.	Trocaram um sorriso.
Podem-se ver muitas estrelas esta noite.	Esta noite podemos ver muitas estrelas.
Ele deixou seu guarda-chuva no ônibus.	Ele esqueceu o guarda-chuva no ônibus.
Ela deixou o guarda-chuvas dela no ônibus.	Ele esqueceu o guarda-chuva no ônibus.
Me dê a chave desse castelo!	Me dê a chave dessa fechadura!
Ela tem algo em sua mão.	Ela tem algo na mão dela.
Você joga tênis?	Tu sabes jogar tênis?
O senhor joga tênis?	Tu sabes jogar tênis?
A senhora joga tênis?	Tu sabes jogar tênis?
O senhor sabe jogar tênis?	Tu sabes jogar tênis?
Vocês jogam tênis?	Tu sabes jogar tênis?
Vamos jogar futebol.	Joguemos futebol.
Vamos jogar futebol.	Nós jogamos futebol.
Fim de jogo.	A sorte está lançada.
A sorte está lançada.	Se fizer sua cama, tem de se deitar nela.
O show acabou.	A sorte está lançada.
O show terminou.	A sorte está lançada.
A sorte está lançada.	Os dados estão lançados.
O dado está lançado.	A sorte está lançada.
A sorte está lançada.	O concerto acabou.
Nunca jogue aqui.	Nunca brinque aqui.
Você joga futebol?	Vocês jogam futebol?
Você joga futebol?	O senhor joga futebol?
Você joga futebol?	A senhora joga futebol?
Eu toco Chopin.	Estou tocando Chopin.
A maçã está doce.	Esta maçã é doce.
Essa maçã é azeda.	Esta maçã está muito azeda.
Esta maçã é ácida.	Esta maçã está muito azeda.
Quem roubou a maçã?	Quem roubou as maçãs?
Essa é uma maçã também.	Aqui também trata-se de uma maçã.
Eu sei descascar uma maçã.	Eu sei pelar uma maçã.
Posso comer esta laranja?	Posso chupar esta laranja?
Posso pegar essa laranja?	Posso comer esta laranja?
Eu mal consigo andar.	Quase não posso caminhar.
Mal consigo andar.	Quase não posso caminhar.
Eu sempre caminho.	Eu normalmente vou a pé.
Eu sempre caminho.	Eu normalmente vou andando.
O que você acha de dar um passeio?	Que tal fazermos uma caminhada?
Gostaria de dar um passeio?	Que tal fazermos uma caminhada?
Gostaria de dar uma volta?	Que tal fazermos uma caminhada?
Que tal uma caminhada?	Que tal fazermos uma caminhada?
Você gostaria de passear?	Que tal fazermos uma caminhada?
Eu sempre caminho para a escola.	Eu sempre vou à escola andando.
Este é o seu carro?	Este carro é seu?
Este é o seu carro?	Este carro é teu?
Este é o seu carro?	Aquele carro é o seu?
Este carro é seu.	Aquele carro é dele.
Aquele é seu carro.	Aquele carro é dele.
Aquele carro é dele.	Este carro pertence a ela.
Este carro é dela.	Aquele carro é dele.
O portão da casa estava aberto.	A porta dianteira estava aberta.
A porta da frente estava aberta.	O portão da casa estava aberto.
Vi-o pular.	Vi-o saltar.
Vi-o pular.	Vi-a saltar.
Eu o vi pular.	Vi-o pular.
Sei voar.	Posso voar.
Eu posso pular.	Posso voar.
Eu posso saltar.	Posso voar.
Eu sei voar.	Posso voar.
Eu posso voar.	Posso voar.
Olha como salta o menino.	Olha como pula o menino.
Faz muito calor.	Está quente demais.
Está muito quente.	Faz muito calor.
É muito quente.	Faz muito calor.
Kate está com um resfriado.	Kate está resfriada.
Os olhos dele são azuis.	Seus olhos são azuis.
Os olhos dele são azuis.	Ela tem olhos azuis.
A manteiga e o queijo são produzidos a partir do leite.	Nós transformamos leite em queijo e manteiga.
Que cachorro enorme!	Que cachorro grande aquele!
Que cachorro enorme!	Que cachorro grandão!
Não alimente o cão.	Por favor, não alimente os animais.
Não alimente os animais.	Não alimente o cão.
Não alimente o cachorro!	Não alimente o cão.
Não alimente o cão.	Visitantes não podem alimentar os animais.
Gosto de cachorro.	Eu gosto deste cão.
Gosto de cachorro.	Eu gosto deste cachorro.
Eu gosto do cachorro.	Gosto de cachorro.
Gosto de cachorro.	Eu gosto desse cachorro.
Gosto de cachorro.	Eu gosto daquele cachorro.
Este lápis é seu?	Esta é a sua caneta?
Essa caneta é sua?	Este lápis é seu?
Este lápis é seu?	Aquele é o seu lápis?
Dê-me a caneta.	Passe-me a caneta.
Me dê o lápis.	Dê-me a caneta.
Posso usar teu lápis?	Você me emprestaria sua caneta?
Posso usar teu lápis?	Posso pegar emprestada uma caneta?
Posso usar a sua caneta?	Posso usar teu lápis?
Posso usar teu lápis?	Posso pegar emprestada a sua caneta um pouco?
Posso usar teu lápis?	Você pode me emprestar uma caneta?
Posso usar teu lápis?	Posso pegar a sua caneta emprestada?
Posso usar teu lápis?	Me empresta o lápis?
Oi, Bill. Como vai?	Olá, Bil. Como você está?
Como você está, Mike?	Oi Miguel, como vai você?
Na Europa, as aulas começam em setembro.	As aulas na Europa começam em setembro.
Eu não vou perder!	Eu não perderei!
Eu não vou perder!	Não vamos perder.
Eu não vou perder!	Nós não iremos perder.
Eu não vou perder!	Nós não vamos perder.
Você perdeu algo aqui?	Vocês perderam algo aqui?
Esse saco preto é seu?	Essa bolsa preta é sua?
Seu rosto ficou vermelho.	Você está com a cara corada.
Seu rosto ficou vermelho.	Ela corou.
Seu rosto ficou vermelho.	Ela está corando.
Ela está ficando vermelha.	Seu rosto ficou vermelho.
Seu rosto ficou vermelho.	As bochechas dela ficaram vermelhas.
Seu rosto está vermelho.	Seu rosto ficou vermelho.
Seu rosto ficou vermelho.	Ela ficou ruborizada.
O rosto dela ficou vermelho.	Seu rosto ficou vermelho.
Seu rosto ficou vermelho.	Ela enrubesceu.
Você está ficando vermelho.	Seu rosto ficou vermelho.
Eu queria sapatos vermelhos.	Queria sapatos vermelhos.
Ela estava usando uma saia vermelha.	Ela estava vestindo uma saia vermelha.
Ela estava vestida de vermelho.	Ela usava roupas vermelhas.
A bicicleta dele é azul.	Sua bicicleta é azul.
Você fica bem de verde.	Verde veste bem em você.
O verde te cai bem.	Verde veste bem em você.
O verde fica-te bem.	Verde veste bem em você.
O verde fica-vos bem.	Verde veste bem em você.
Eu peguei uma linda borboleta.	Peguei uma borboleta linda.
Esse pássaro não consegue voar.	Aquele pássaro não voa.
Boa noite, Chicago.	Olá, Chicago!
Bom dia, Chicago!	Olá, Chicago!
Ela recusou minha proposta.	Ela recusou o subsídio que eu ofereci.
Ele recusou minha oferta.	Ela recusou o subsídio que eu ofereci.
Ele se recusou a minha proposta.	Ela recusou o subsídio que eu ofereci.
Como estudante de história, eu também conheço a dívida que a civilização tem para com o Islã. Foi o Islã que – na Universidade de Al Azhar e em outros lugares – por tantos séculos disseminou a luz do conhecimento, tendo preparado, assim, o caminho para o Renascimento e o Iluminismo.	Sendo um estudante de história, eu conheço também a dívida da civilização para com o Islã. Era o Islã - em lugares como a universidade Al-Azhar - que levava a luz do conhecimento através de tantos séculos, abrindo o caminho para a Renascença e para o Iluminismo da Europa.
Em vez de ir eu mesmo, eu enviei um presente.	Em vez de ir pessoalmente, eu mandei um presente.
O que é que houve aqui?	O que aconteceu aqui?
Que houve aqui?	O que aconteceu aqui?
Aqui está o endereço.	Este é o endereço.
Será que há vida em Marte?	Existe alguma forma de vida em Marte?
Há vida em Marte?	Existe alguma forma de vida em Marte?
O meu irmão me ajudou a fazer os deveres.	Meu irmão me ajudou com os deveres.
Admiramo-la pela sua coragem.	Admiramo-la pela sua valentia
Esta é sua chave.	Aqui estão suas chaves.
Aqui está a sua chave.	Esta é sua chave.
Eu devo meu sucesso a minha amiga.	Devo meu sucesso a meu amigo.
Venha aqui, John.	Venha cá, John.
A Terra gira.	A terra gira ao redor de seu eixo.
A Terra é redonda.	A terra gira ao redor de seu eixo.
Traduza a parte sublinhada.	Traduz as frases sublinhadas.
Você poderia me dar um garfo?	Poderias dar-me um garfo?
Um garfo está faltando.	Está faltando um garfo.
Você pode me ajudar a traduzir estas frases para o chinês?	Você pode ajudar-me a traduzir estas frases em chinês?
Por quanto tempo você precisa traduzir o livro?	Quanto tempo você levou para traduzir esse livro?
A faca está cega.	A faca não está afiada.
A faca não está afiada.	A faca está desamolada.
Nós passamos por três guerras.	Temos aguentado três guerras.
Nós passamos por três guerras.	Temos suportado três guerras.
Devemos evitar a guerra a qualquer preço.	Nós devemos evitar a guerra por todos os meios possíveis.
Eu preferiria não ir às compras só.	Eu preferiria não ir fazer compras sozinho.
Eu não quero ir fazer as compras sozinha.	Eu preferiria não ir fazer compras sozinho.
O que você tem para o café da manhã?	O que você come no café-da-manhã?
O que você come no café-da-manhã?	O que você normalmente toma no café da manhã?
Você deve estudar muito.	Você deveria trabalhar duro.
Você deve estudar com força.	Você deveria trabalhar duro.
Você terá que trabalhar muito.	Você deveria trabalhar duro.
Mal consigo ouvir você.	Eu mal estou conseguindo te escutar.
Eu mal consigo te ouvir.	Mal consigo ouvir você.
Conforme normas do projeto, Tatoeba recomenda que cada membro acrescente frases apenas em seu idioma nativo, e/ou traduza de uma língua, que ele possa entender, para sua língua materna. A razão disso é que é muito mais fácil formar, na língua materna de cada um, frases que soem naturalmente. Quando escrevemos em um idioma que não é o nosso, é muito fácil criar frases que pareçam estranhas. Por favor, faça por onde só traduzir uma frase se tiver certeza de que sabe realmente o que ela significa.	Segundo as orientações do Tatoeba, é recomendado que os membros só adicionem frases no seu idioma nativo e/ou traduzir de um idioma que eles consigam entender para o idioma nativo deles. O motivo disto é que é muito mais fácil para formar frases que soem naturais no idioma nativo. Quando escrevemos em um idioma que não seja o nosso nativo, é muito fácil produzir frases que soam estranhas. Por favor, certifique-se de somente traduzir a frase se você tem certeza do significado dela.
Você me empresta algum dinheiro?	Você quer me emprestar um pouco de dinheiro?
Você me empresta algum dinheiro?	Você quer me emprestar algum dinheiro?
Você pode me emprestar um dinheiro?	Você me empresta algum dinheiro?
Eu perdi meu relógio e então tenho que comprar outro.	Perdi meu relógio, portanto terei de comprar outro.
Eles odeiam o Tom.	Elas odiavam o Tom.
É proibido conversar na biblioteca.	Não é permitido conversar na biblioteca.
Não temos o direito de falar na biblioteca.	É proibido conversar na biblioteca.
Eu não gosto de ver você gritando com ela.	Você estava gritando com ela e eu não gosto disso.
Onde está o meu livro?	Onde estão os meus livros?
Não sei o que fazer com isso.	Não sei o que devo fazer depois.
Agora não sei o que fazer.	Não sei o que devo fazer depois.
Não sei o que fazer de agora em diante.	Não sei o que devo fazer depois.
Eu não sei o que fazer em seguida.	Não sei o que devo fazer depois.
Não sei mais o que fazer.	Não sei o que devo fazer depois.
Não sei o que fazer a respeito disso.	Não sei o que devo fazer depois.
Não sei o que devo fazer depois.	Não sei como tratar desse assunto.
Não sei o que vou fazer agora.	Não sei o que devo fazer depois.
Não sei se tenho tempo.	Eu não sei se tenho tempo para isso.
Eu não sei se tenho tempo para isso.	Não sei se vou ter tempo de fazer isso.
Eu não sei se tenho tempo para isso.	Não sei se vai dar tempo de fazer.
Não sei se terei tempo.	Eu não sei se tenho tempo para isso.
Eu não sei se tenho tempo para isso.	Eu não sei se terei tempo para fazer isso.
O futebol é o meu esporte preferido.	Meu esporte favorito é o futebol.
O futebol é o meu esporte preferido.	Meu esporte preferido é o futebol.
É o meu amigo. Você o conhece?	É meu amigo. Crianças, vocês o conhecem?
Ela é minha amiga. Conhece-la?	É meu amigo. Crianças, vocês o conhecem?
Se não se pode ter filhos, pode-se adotá-los.	Se você não pode ter filhos, você sempre terá a opção de adotar.
Eu gostaria de morar perto de tua casa.	Gostaria de morar perto de sua casa.
Eu estive sem Londres durante quase todo o verão.	Eu fiquei em Londres quase o verão inteiro.
Porque eu estava muito cansado eu fui dormir cedo.	Estava muito cansado, então fui para a cama cedo.
Como estava muito cansado, fui logo para a cama.	Porque eu estava muito cansado eu fui dormir cedo.
Em qual cama você quer dormir?	Qual cama você quer usar?
Normalmente você vai dormir de que horas?	Que horas você costuma ir se deitar?
Normalmente você vai dormir de que horas?	A que horas você se deita normalmente?
Normalmente você vai dormir de que horas?	A que horas você costuma ir para a cama?
Meu coração estava cheio de felicidade.	Meu coração transbordava de alegria.
Os alunos aprenderam meus poemas pelo coração.	Os alunos aprenderam muitos poemas de cor.
Gostaria de tomar uma xícara de chá.	Eu aceitaria uma xícara de chá, por favor.
Meu objetivo é me tornar um médico.	Meu objetivo é virar médico.
Você já jogou beisebol?	Já jogou beisebol alguma vez?
Eu não sei quando Bob veio para o Japão.	Não sei quando Bon voltou para o Japão.
As crianças começam a ir à escola aos seis anos.	As crianças começam a ir para a escola quando elas têm seis anos de idade.
Você precisa de quantas horas de sono?	Quantas horas de sono você precisa?
Ele sempre chega tarde na escola.	Ele está sempre atrasado para a aula.
Você pode adivinhar o que eu tenho?	Você consegue adivinhar o que tenho aqui?
No Canadá, você não pode beber até completar 20 anos.	No Canadá, não é permitido que os menores de vinte anos bebam álcool.
Ele tem pernas longas.	Suas pernas são longas.
Ela tem pés grandes.	Ele tem pernas longas.
Ele tem pernas longas.	Ele tem pernas compridas.
Ele tem pernas longas.	As pernas dele são compridas.
Você jogou tênis ontem?	Vocês jogaram tênis ontem?
Você acha que ele morreu?	Você pensa que ele está morto?
Ela parou de falar.	Ela se calou.
Ela parou de falar.	Ele ficou calado o tempo todo.
Ela parou de falar.	Ele permaneceu em silêncio o tempo inteiro.
Ele ficou em silêncio.	Ela parou de falar.
Não bate muito sol neste cômodo.	Este cômodo não recebe muito sol.
Este cômodo não recebe muito sol.	Nesse cômodo não bate muito sol.
Ele ficou rico.	Ela ficou rica.
Você comprou este livro?	Compraste este livro?
Você pediu o livro?	Pediste o livro?
Mike - capitão do nosso esquadrão.	Mike - capitão da nossa brigada.
Devolva este livro assim que puder.	Devolva este livro, tão logo possa.
Fiquei feliz em receber a notícia.	Fico feliz em ouvir as novidades.
Fiquei feliz em receber a notícia.	Fiquei contente em ouvir a notícia.
Eu estou feliz em ouvir as notícias.	Fiquei feliz em receber a notícia.
Fiquei feliz em receber a notícia.	Sinto-me feliz de ouvir essas novidades.
Fiquei feliz em receber a notícia.	Ouvir essas notícias deixa-me contente.
Você cometeu o mesmo erro de novo.	Ela fez a mesma besteira outra vez.
Ela continuou a falar.	Ela continuou falando.
Ele pediu-nos para o ajudar.	Ele veio para pedir a nossa ajuda.
Ele pediu-nos para o ajudar.	Ele veio pedir-nos para ajudá-lo.
Ele pediu-nos para o ajudar.	Ela pediu minha ajuda.
Ele pediu-nos para o ajudar.	Ele veio nos pedir ajuda.
Ele pediu-nos para o ajudar.	Ele pediu a minha assistência.
